pair_id,prompt_id,prompt_family,seed_index,baseline_band_distance,baseline_target_band_hit,guided_band_distance,delta_band_distance,positive_guidance,neutral_guidance,guided_target_band_hit,synthetic,scientific_evidence,qualification_result,production_authorization,mock_seed
p16_bell_texture__v05__s03,p16_bell_texture__v05,p16_bell_texture,3,0.46735325877968703,False,0.3130918877085627,-0.1542613710711243,True,False,False,True,False,False,False,20260915
p16_bell_texture__v05__s04,p16_bell_texture__v05,p16_bell_texture,4,0.7177967550251464,False,0.5825591537982409,-0.13523760122690553,True,False,False,True,False,False,False,20260915
p16_bell_texture__v05__s05,p16_bell_texture__v05,p16_bell_texture,5,0.5477692881366157,False,0.6226452137716532,0.07487592563503742,False,False,False,True,False,False,False,20260915
p16_bell_texture__v05__s06,p16_bell_texture__v05,p16_bell_texture,6,0.40019777712018995,False,0.27603231606238815,-0.1241654610578018,True,False,False,True,False,False,False,20260915
p16_bell_texture__v05__s07,p16_bell_texture__v05,p16_bell_texture,7,0.4141410428001923,False,0.31422041493072844,-0.09992062786946387,True,False,False,True,False,False,False,20260915
p16_bell_texture__v06__s00,p16_bell_texture__v06,p16_bell_texture,0,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p16_bell_texture__v06__s01,p16_bell_texture__v06,p16_bell_texture,1,1.167960903168015,False,1.042860399023341,-0.125100504144674,True,False,False,True,False,False,False,20260915
p16_bell_texture__v06__s02,p16_bell_texture__v06,p16_bell_texture,2,0.6567282905785775,False,0.5232622426688354,-0.13346604790974215,True,False,False,True,False,False,False,20260915
p16_bell_texture__v06__s03,p16_bell_texture__v06,p16_bell_texture,3,0.5879833400322522,False,0.5193892581022947,-0.06859408192995742,True,False,False,True,False,False,False,20260915
p16_bell_texture__v06__s04,p16_bell_texture__v06,p16_bell_texture,4,0.4876266322898457,False,0.3845504053901148,-0.1030762268997309,True,False,False,True,False,False,False,20260915
p16_bell_texture__v06__s05,p16_bell_texture__v06,p16_bell_texture,5,0.25781209524252774,False,0.14885722935406812,-0.10895486588845962,True,False,False,True,False,False,False,20260915
p16_bell_texture__v06__s06,p16_bell_texture__v06,p16_bell_texture,6,0.8263815657511356,False,0.7310038662684177,-0.0953776994827179,True,False,False,True,False,False,False,20260915
p16_bell_texture__v06__s07,p16_bell_texture__v06,p16_bell_texture,7,0.39551308250694256,False,0.47400133923104143,0.07848825672409887,False,False,False,True,False,False,False,20260915
p16_bell_texture__v07__s00,p16_bell_texture__v07,p16_bell_texture,0,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p16_bell_texture__v07__s01,p16_bell_texture__v07,p16_bell_texture,1,0.36284376928406636,False,0.20460904804124042,-0.15823472124282595,True,False,False,True,False,False,False,20260915
p16_bell_texture__v07__s02,p16_bell_texture__v07,p16_bell_texture,2,0.7441662471330489,False,0.5761483413283693,-0.16801790580467957,True,False,False,True,False,False,False,20260915
p16_bell_texture__v07__s03,p16_bell_texture__v07,p16_bell_texture,3,0.4819928418192647,False,0.3967957385277933,-0.0851971032914714,True,False,False,True,False,False,False,20260915
p16_bell_texture__v07__s04,p16_bell_texture__v07,p16_bell_texture,4,0.590449963101156,False,0.6611319648035908,0.07068200170243477,False,False,False,True,False,False,False,20260915
p16_bell_texture__v07__s05,p16_bell_texture__v07,p16_bell_texture,5,0.37471283785349524,False,0.0,-0.37471283785349524,True,False,True,True,False,False,False,20260915
p16_bell_texture__v07__s06,p16_bell_texture__v07,p16_bell_texture,6,0.43072069914772104,False,0.3334080973765861,-0.09731260177113493,True,False,False,True,False,False,False,20260915
p16_bell_texture__v07__s07,p16_bell_texture__v07,p16_bell_texture,7,1.120339271659902,False,1.00350644380037,-0.11683282785953208,True,False,False,True,False,False,False,20260915
p16_bell_texture__v08__s00,p16_bell_texture__v08,p16_bell_texture,0,0.24533589829937333,False,0.0,-0.24533589829937333,True,False,True,True,False,False,False,20260915
p16_bell_texture__v08__s01,p16_bell_texture__v08,p16_bell_texture,1,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p16_bell_texture__v08__s02,p16_bell_texture__v08,p16_bell_texture,2,0.3989511099269309,False,0.1396328884744258,-0.2593182214525051,True,False,False,True,False,False,False,20260915
p16_bell_texture__v08__s03,p16_bell_texture__v08,p16_bell_texture,3,1.0206181672760417,False,1.090222045949798,0.06960387867375628,False,False,False,True,False,False,False,20260915
p16_bell_texture__v08__s04,p16_bell_texture__v08,p16_bell_texture,4,0.2738251186604365,False,0.21569559079391196,-0.05812952786652456,True,False,False,True,False,False,False,20260915
p16_bell_texture__v08__s05,p16_bell_texture__v08,p16_bell_texture,5,0.44888384565698186,False,0.3221682441737189,-0.12671560148326294,True,False,False,True,False,False,False,20260915
p16_bell_texture__v08__s06,p16_bell_texture__v08,p16_bell_texture,6,0.5584316329007227,False,0.41925544595946923,-0.1391761869412535,True,False,False,True,False,False,False,20260915
p16_bell_texture__v08__s07,p16_bell_texture__v08,p16_bell_texture,7,0.6776769125623943,False,0.5746568298108375,-0.10302008275155672,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v01__s00,p23_rhodes_bass__v01,p23_rhodes_bass,0,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p23_rhodes_bass__v01__s01,p23_rhodes_bass__v01,p23_rhodes_bass,1,0.3161595292490409,False,0.3995577043706613,0.0833981751216204,False,False,False,True,False,False,False,20260915
p23_rhodes_bass__v01__s02,p23_rhodes_bass__v01,p23_rhodes_bass,2,1.2725400170623984,False,1.1060512496802886,-0.16648876738210983,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v01__s03,p23_rhodes_bass__v01,p23_rhodes_bass,3,0.36221340248996003,False,0.19448416675178065,-0.16772923573817938,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v01__s04,p23_rhodes_bass__v01,p23_rhodes_bass,4,0.6527987267147597,False,0.6094825309889107,-0.043316195725848994,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v01__s05,p23_rhodes_bass__v01,p23_rhodes_bass,5,0.36221763114211747,False,0.0,-0.36221763114211747,True,False,True,True,False,False,False,20260915
p23_rhodes_bass__v01__s06,p23_rhodes_bass__v01,p23_rhodes_bass,6,0.2900631478354092,False,0.2218099916206211,-0.06825315621478811,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v01__s07,p23_rhodes_bass__v01,p23_rhodes_bass,7,0.7610479251429202,False,0.7986634680923502,0.037615542949430036,False,False,False,True,False,False,False,20260915
p23_rhodes_bass__v02__s00,p23_rhodes_bass__v02,p23_rhodes_bass,0,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p23_rhodes_bass__v02__s01,p23_rhodes_bass__v02,p23_rhodes_bass,1,0.38162167125829527,False,0.42753593784580557,0.0459142665875103,False,False,False,True,False,False,False,20260915
p23_rhodes_bass__v02__s02,p23_rhodes_bass__v02,p23_rhodes_bass,2,0.6929256225841692,False,0.8009188810980344,0.10799325851386521,False,False,False,True,False,False,False,20260915
p23_rhodes_bass__v02__s03,p23_rhodes_bass__v02,p23_rhodes_bass,3,0.778935155881324,False,0.6742864677859893,-0.10464868809533467,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v02__s04,p23_rhodes_bass__v02,p23_rhodes_bass,4,0.47153327351419777,False,0.3977530586323317,-0.07378021488186609,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v02__s05,p23_rhodes_bass__v02,p23_rhodes_bass,5,0.45289286847159144,False,0.2694819075229065,-0.18341096094868492,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v02__s06,p23_rhodes_bass__v02,p23_rhodes_bass,6,0.7234660712971795,False,0.6012881459218947,-0.12217792537528482,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v02__s07,p23_rhodes_bass__v02,p23_rhodes_bass,7,1.0706373905360287,False,1.0027157444886865,-0.06792164604734219,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v03__s00,p23_rhodes_bass__v03,p23_rhodes_bass,0,0.7650715317923812,False,0.6107962178661623,-0.15427531392621885,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v03__s01,p23_rhodes_bass__v03,p23_rhodes_bass,1,0.5754315295343901,False,0.0,-0.5754315295343901,True,False,True,True,False,False,False,20260915
p23_rhodes_bass__v03__s02,p23_rhodes_bass__v03,p23_rhodes_bass,2,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p23_rhodes_bass__v03__s03,p23_rhodes_bass__v03,p23_rhodes_bass,3,0.4219464715129496,False,0.2301047565899055,-0.1918417149230441,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v03__s04,p23_rhodes_bass__v03,p23_rhodes_bass,4,0.45648068197644415,False,0.3401495687088724,-0.11633111326757173,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v03__s05,p23_rhodes_bass__v03,p23_rhodes_bass,5,0.5914610031983397,False,0.4755430756274212,-0.11591792757091851,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v03__s06,p23_rhodes_bass__v03,p23_rhodes_bass,6,0.8836745828168655,False,0.7707560449372579,-0.1129185378796076,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v03__s07,p23_rhodes_bass__v03,p23_rhodes_bass,7,0.30348200171052797,False,0.3598948783840807,0.056412876673552714,False,False,False,True,False,False,False,20260915
p23_rhodes_bass__v04__s00,p23_rhodes_bass__v04,p23_rhodes_bass,0,0.5742949717524103,False,0.5027857494143211,-0.0715092223380892,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v04__s01,p23_rhodes_bass__v04,p23_rhodes_bass,1,0.5724625772814581,False,0.4986217797429615,-0.0738407975384966,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v04__s02,p23_rhodes_bass__v04,p23_rhodes_bass,2,0.4079442943528608,False,0.3335904661685519,-0.07435382818430886,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v04__s03,p23_rhodes_bass__v04,p23_rhodes_bass,3,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p23_rhodes_bass__v04__s04,p23_rhodes_bass__v04,p23_rhodes_bass,4,0.8595722665470255,False,0.7981193170122335,-0.06145294953479197,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v04__s05,p23_rhodes_bass__v04,p23_rhodes_bass,5,1.35,False,0.0,-1.35,True,False,True,True,False,False,False,20260915
p23_rhodes_bass__v04__s06,p23_rhodes_bass__v04,p23_rhodes_bass,6,0.9712902714826632,False,0.8356933701265034,-0.13559690135615987,True,False,False,True,False,False,False,20260915
p23_rhodes_bass__v04__s07,p23_rhodes_bass__v04,p23_rhodes_bass,7,0.741491570067843,False,0.8061377357631812,0.0646461656953381,False,False,False,True,False,False,False,20260915
p23_rhodes_bass__v05__s00,p23_rhodes_bass__v05,p23_rhodes_bass,0,0.0,True,0.0,0.0,False,True,True,True,False,False,False,20260915
p23_rhodes_bass__v05__s01,p23_rhodes_bass__v05,p23_rhodes_bass,1,0.439848997046845,False,0.0,-0.439848997046845,True,False,True,True,False,False,False,20260915
p23_rhodes_bass__v05__s02,p23_rhodes_bass__v05,p23_rhodes_bass,2,0.5837373445912215,False,0.5176758201798013,-0.06606152441142021,True,False,False,True,False,False,False,20260915
