track_id,group,split
classical_musopen_0ddcc98bc949,classical,discovery
classical_musopen_12241f03c895,classical,discovery
classical_musopen_124b2ee448a3,classical,holdout
classical_musopen_12be103565ed,classical,discovery
classical_musopen_1551871968d3,classical,discovery
classical_musopen_19bfd66ce0b8,classical,discovery
classical_musopen_1da5c488f898,classical,validation
classical_musopen_208080de49cd,classical,holdout
classical_musopen_215977f7d168,classical,validation
classical_musopen_22818b508e94,classical,discovery
classical_musopen_2431e0d1cb75,classical,discovery
classical_musopen_25c64baa9139,classical,validation
classical_musopen_267eb0cfe9bf,classical,discovery
classical_musopen_26a41c433b68,classical,discovery
classical_musopen_26b6da893e99,classical,holdout
classical_musopen_281136d63fb7,classical,validation
classical_musopen_2873bce09ec4,classical,validation
classical_musopen_28b2abb46028,classical,validation
classical_musopen_2bb770b12fae,classical,holdout
classical_musopen_2ca1fc27dc8e,classical,holdout
classical_musopen_33730045e3a6,classical,validation
classical_musopen_373729be509d,classical,validation
classical_musopen_39eaf7f62acd,classical,discovery
classical_musopen_3d194a9bdaa5,classical,discovery
classical_musopen_3f120e57880d,classical,discovery
classical_musopen_40a2fd43125a,classical,validation
classical_musopen_414d9c796be3,classical,validation
classical_musopen_4832911d08b7,classical,discovery
classical_musopen_4ebac9c72c1e,classical,discovery
classical_musopen_5118ccc9f4d0,classical,holdout
classical_musopen_53427878778a,classical,validation
classical_musopen_5b78471c4c9d,classical,discovery
classical_musopen_5f1728c240a1,classical,discovery
classical_musopen_6288d37e8273,classical,discovery
classical_musopen_631eca7e6359,classical,validation
classical_musopen_66e009cc7ce8,classical,validation
classical_musopen_67f1921ea1d2,classical,discovery
classical_musopen_6911e41c184d,classical,discovery
classical_musopen_6c30622a4e97,classical,discovery
classical_musopen_715f07ea34cd,classical,holdout
classical_musopen_738d2a0f7b4c,classical,discovery
classical_musopen_76480b1bf8fd,classical,discovery
classical_musopen_7c2a6aff83ae,classical,validation
classical_musopen_85b8d83993e5,classical,validation
classical_musopen_860ce064b48c,classical,discovery
classical_musopen_88dae15b633b,classical,holdout
classical_musopen_8b402eee923c,classical,validation
classical_musopen_8c1a75b7bf5d,classical,discovery
classical_musopen_8f00b775156a,classical,discovery
classical_musopen_909c6ffb1fa0,classical,discovery
classical_musopen_90f0e736fe47,classical,discovery
classical_musopen_97fae7a3dfae,classical,validation
classical_musopen_9887c7fd8762,classical,discovery
classical_musopen_9a95a1b73779,classical,holdout
classical_musopen_9d607b626772,classical,discovery
classical_musopen_9e03803778c4,classical,validation
classical_musopen_9e92b1162c06,classical,validation
classical_musopen_a1e65e9cab92,classical,validation
classical_musopen_ad4d8a90f9bc,classical,validation
classical_musopen_af6a2556f0c9,classical,discovery
classical_musopen_b5e0f49dce63,classical,validation
classical_musopen_baea77fb0fba,classical,validation
classical_musopen_bb045bab8875,classical,discovery
classical_musopen_bb26f6675995,classical,validation
classical_musopen_c080ce7f8b19,classical,discovery
classical_musopen_c6602c75c700,classical,discovery
classical_musopen_c678e65ee624,classical,discovery
classical_musopen_c787198261a5,classical,discovery
classical_musopen_c867a2eeaae9,classical,discovery
classical_musopen_cc8d87d2b00c,classical,discovery
classical_musopen_cd013009d6d8,classical,discovery
classical_musopen_d2e3d82ad3e8,classical,discovery
classical_musopen_d3fcd3c28c74,classical,discovery
classical_musopen_d70f00840b98,classical,discovery
classical_musopen_d80a81db9e9a,classical,validation
classical_musopen_d89f306017d2,classical,validation
classical_musopen_d95ec9d17c06,classical,discovery
classical_musopen_d9826478969c,classical,validation
classical_musopen_dbfd3cb8056d,classical,discovery
classical_musopen_dc68b3cf3d10,classical,discovery
classical_musopen_e09675b49c01,classical,validation
classical_musopen_e0aa0ba751f5,classical,discovery
classical_musopen_e0dc320f51e3,classical,discovery
classical_musopen_e542fa316458,classical,validation
classical_musopen_e92198fc7b0d,classical,holdout
classical_musopen_e979457eb8b9,classical,discovery
classical_musopen_f0ef963b9b80,classical,holdout
classical_musopen_f1de65f9d30b,classical,discovery
classical_musopen_f6b26962c493,classical,validation
classical_musopen_f88042497771,classical,holdout
classical_musopen_fcb18467286d,classical,validation
classical_musopen_fe9f4f266c55,classical,validation
focus_jamendo_0016398,focus,holdout
focus_jamendo_0214220,focus,holdout
focus_jamendo_1027423,focus,discovery
focus_jamendo_1027427,focus,discovery
focus_jamendo_1027938,focus,discovery
focus_jamendo_1027941,focus,discovery
focus_jamendo_1056129,focus,discovery
focus_jamendo_1056135,focus,discovery
focus_jamendo_1068406,focus,validation
focus_jamendo_1077172,focus,holdout
focus_jamendo_1077186,focus,holdout
focus_jamendo_1081641,focus,discovery
focus_jamendo_1081643,focus,discovery
focus_jamendo_1089784,focus,validation
focus_jamendo_1092684,focus,discovery
focus_jamendo_1093823,focus,holdout
focus_jamendo_1093829,focus,holdout
focus_jamendo_1097142,focus,validation
focus_jamendo_1101389,focus,discovery
focus_jamendo_1101393,focus,discovery
focus_jamendo_1106739,focus,discovery
focus_jamendo_1106747,focus,discovery
focus_jamendo_1120647,focus,validation
focus_jamendo_1127596,focus,validation
focus_jamendo_1128146,focus,discovery
focus_jamendo_1128147,focus,discovery
focus_jamendo_1128887,focus,validation
focus_jamendo_1129320,focus,holdout
focus_jamendo_1129323,focus,holdout
focus_jamendo_1130216,focus,discovery
focus_jamendo_1130360,focus,discovery
focus_jamendo_1130372,focus,discovery
focus_jamendo_1130830,focus,discovery
focus_jamendo_1154294,focus,holdout
focus_jamendo_1154298,focus,holdout
focus_jamendo_1154856,focus,discovery
focus_jamendo_1154857,focus,discovery
focus_jamendo_1156277,focus,discovery
focus_jamendo_1156386,focus,validation
focus_jamendo_1161853,focus,validation
focus_jamendo_1248571,focus,holdout
focus_jamendo_1250838,focus,discovery
focus_jamendo_1272579,focus,holdout
focus_jamendo_1302666,focus,discovery
focus_jamendo_1357893,focus,validation
focus_jamendo_1442910,focus,discovery
focus_jamendo_1450425,focus,discovery
focus_jamendo_1496808,focus,validation
focus_jamendo_1502253,focus,discovery
focus_jamendo_1522319,focus,discovery
focus_jamendo_1522321,focus,discovery
focus_jamendo_1522332,focus,discovery
focus_jamendo_1522335,focus,discovery
focus_jamendo_1542218,focus,discovery
focus_jamendo_1549291,focus,validation
focus_jamendo_1550368,focus,validation
focus_jamendo_1560365,focus,discovery
focus_jamendo_1569329,focus,holdout
focus_jamendo_1569330,focus,holdout
focus_jamendo_1571054,focus,validation
focus_jamendo_1575999,focus,discovery
focus_jamendo_1576036,focus,discovery
focus_jamendo_1597681,focus,validation
focus_jamendo_1597868,focus,holdout
focus_jamendo_1606551,focus,holdout
focus_jamendo_1610713,focus,discovery
focus_jamendo_1617037,focus,discovery
focus_jamendo_1619099,focus,discovery
focus_jamendo_1621763,focus,holdout
focus_jamendo_1630224,focus,validation
focus_jamendo_1632069,focus,discovery
focus_jamendo_1632088,focus,discovery
focus_jamendo_1633326,focus,validation
focus_jamendo_1646629,focus,discovery
focus_jamendo_1647617,focus,discovery
focus_jamendo_1650016,focus,validation
focus_jamendo_1667339,focus,discovery
focus_jamendo_1668128,focus,discovery
focus_jamendo_1669925,focus,validation
focus_jamendo_1672165,focus,holdout
focus_jamendo_1677808,focus,holdout
focus_jamendo_1677809,focus,holdout
focus_jamendo_1683418,focus,holdout
focus_jamendo_1684978,focus,discovery
focus_jamendo_1684979,focus,discovery
focus_jamendo_1685030,focus,holdout
focus_jamendo_1685032,focus,holdout
focus_jamendo_1692446,focus,discovery
focus_jamendo_1699096,focus,discovery
focus_jamendo_1700327,focus,validation
focus_jamendo_1704604,focus,discovery
focus_jamendo_1705713,focus,discovery
focus_jamendo_1706218,focus,discovery
focus_jamendo_1709689,focus,discovery
focus_jamendo_1713602,focus,validation
focus_jamendo_1721937,focus,validation
focus_jamendo_1744930,focus,holdout
focus_jamendo_1755448,focus,validation
focus_jamendo_1761112,focus,validation
focus_jamendo_1780015,focus,discovery
focus_jamendo_1785989,focus,discovery
focus_jamendo_1786770,focus,validation
focus_jamendo_1787506,focus,validation
focus_jamendo_1789540,focus,validation
focus_jamendo_1797025,focus,discovery
focus_jamendo_1798108,focus,holdout
focus_jamendo_1798830,focus,discovery
focus_jamendo_1809441,focus,validation
focus_jamendo_1809751,focus,validation
focus_jamendo_1810290,focus,validation
focus_jamendo_1811125,focus,holdout
focus_jamendo_1816033,focus,validation
focus_jamendo_1823875,focus,discovery
focus_jamendo_1823902,focus,discovery
focus_jamendo_1824127,focus,discovery
focus_jamendo_1826551,focus,discovery
focus_jamendo_1826554,focus,discovery
focus_jamendo_1828706,focus,validation
focus_jamendo_1832577,focus,holdout
focus_jamendo_1833203,focus,discovery
focus_jamendo_1835124,focus,discovery
focus_jamendo_1838283,focus,discovery
focus_jamendo_1838287,focus,discovery
focus_jamendo_1842470,focus,discovery
focus_jamendo_1842472,focus,discovery
focus_jamendo_1844721,focus,discovery
focus_jamendo_1847333,focus,discovery
focus_jamendo_1847530,focus,discovery
focus_jamendo_1850576,focus,discovery
focus_jamendo_1856292,focus,discovery
focus_jamendo_1858750,focus,validation
focus_jamendo_1864786,focus,validation
focus_jamendo_1865466,focus,holdout
focus_jamendo_1866931,focus,discovery
focus_jamendo_1867616,focus,validation
focus_jamendo_1868247,focus,validation
focus_jamendo_1868257,focus,validation
focus_jamendo_1868402,focus,validation
focus_jamendo_1869522,focus,discovery
focus_jamendo_1871445,focus,discovery
focus_jamendo_1871951,focus,holdout
focus_jamendo_1874522,focus,discovery
focus_jamendo_1879434,focus,validation
focus_jamendo_1879604,focus,discovery
focus_jamendo_1881280,focus,discovery
focus_jamendo_1885488,focus,discovery
focus_jamendo_1890389,focus,discovery
focus_jamendo_1890394,focus,discovery
focus_jamendo_1890497,focus,discovery
focus_jamendo_1890501,focus,discovery
focus_jamendo_1891400,focus,discovery
focus_jamendo_1894575,focus,discovery
focus_jamendo_1894851,focus,discovery
focus_jamendo_1895201,focus,discovery
focus_jamendo_1895276,focus,discovery
focus_jamendo_1897824,focus,discovery
focus_jamendo_1898926,focus,holdout
focus_jamendo_1900437,focus,holdout
focus_jamendo_1900439,focus,holdout
focus_jamendo_1900645,focus,discovery
focus_jamendo_1900646,focus,discovery
focus_jamendo_1900840,focus,discovery
focus_jamendo_1900848,focus,discovery
focus_jamendo_1900849,focus,discovery
focus_jamendo_1900865,focus,discovery
focus_jamendo_1901339,focus,validation
focus_jamendo_1902125,focus,discovery
focus_jamendo_1906117,focus,validation
focus_jamendo_1906544,focus,discovery
focus_jamendo_1916203,focus,discovery
focus_jamendo_1920476,focus,discovery
focus_jamendo_1921939,focus,discovery
focus_jamendo_1922056,focus,validation
focus_jamendo_1923890,focus,discovery
focus_jamendo_1924920,focus,discovery
focus_jamendo_1924921,focus,discovery
focus_jamendo_1926373,focus,discovery
focus_jamendo_1928112,focus,validation
focus_jamendo_1929250,focus,discovery
focus_jamendo_1931218,focus,discovery
focus_jamendo_1932519,focus,holdout
focus_jamendo_1935622,focus,discovery
focus_jamendo_1935873,focus,discovery
focus_jamendo_1935877,focus,discovery
focus_jamendo_1939376,focus,holdout
focus_jamendo_1939637,focus,validation
focus_jamendo_1942807,focus,discovery
focus_jamendo_1945054,focus,validation
focus_jamendo_1953401,focus,discovery
focus_jamendo_1956108,focus,discovery
focus_jamendo_1957365,focus,validation
focus_jamendo_1957922,focus,discovery
focus_jamendo_1959047,focus,validation
focus_jamendo_1962000,focus,validation
focus_jamendo_1963475,focus,discovery
focus_jamendo_1964726,focus,holdout
focus_jamendo_1964742,focus,holdout
focus_jamendo_1967104,focus,discovery
focus_jamendo_1967111,focus,discovery
focus_jamendo_1968379,focus,discovery
focus_jamendo_1969508,focus,discovery
focus_jamendo_1976281,focus,holdout
focus_jamendo_1976293,focus,holdout
focus_jamendo_1978485,focus,discovery
focus_jamendo_1978695,focus,discovery
focus_jamendo_1978794,focus,validation
focus_jamendo_1979493,focus,discovery
focus_jamendo_1980501,focus,discovery
focus_jamendo_1981814,focus,discovery
focus_jamendo_1983051,focus,discovery
focus_jamendo_1983056,focus,discovery
focus_jamendo_1983239,focus,discovery
focus_jamendo_1983242,focus,discovery
focus_jamendo_1985293,focus,discovery
focus_jamendo_1985295,focus,discovery
focus_jamendo_1986013,focus,discovery
focus_jamendo_1987334,focus,validation
focus_jamendo_1987580,focus,validation
focus_jamendo_1989240,focus,holdout
focus_jamendo_1989577,focus,discovery
focus_jamendo_1993496,focus,discovery
focus_jamendo_1994905,focus,validation
focus_jamendo_1997549,focus,holdout
focus_jamendo_2002309,focus,discovery
focus_jamendo_2004625,focus,validation
focus_jamendo_2005032,focus,discovery
focus_jamendo_2005033,focus,discovery
focus_jamendo_2009953,focus,discovery
focus_jamendo_2015074,focus,discovery
focus_jamendo_2019707,focus,discovery
focus_jamendo_2022629,focus,validation
focus_jamendo_2023052,focus,discovery
focus_jamendo_2023746,focus,discovery
focus_jamendo_2026945,focus,discovery
focus_jamendo_2027198,focus,discovery
focus_jamendo_2027199,focus,discovery
focus_jamendo_2029578,focus,holdout
focus_jamendo_2032139,focus,discovery
focus_jamendo_2032187,focus,discovery
focus_jamendo_2032670,focus,discovery
focus_jamendo_2034075,focus,discovery
focus_jamendo_2034860,focus,discovery
focus_jamendo_2035379,focus,discovery
focus_jamendo_2035939,focus,discovery
focus_jamendo_2037708,focus,validation
focus_jamendo_2039455,focus,discovery
focus_jamendo_2039456,focus,discovery
focus_jamendo_2039515,focus,discovery
focus_jamendo_2039520,focus,discovery
focus_jamendo_2041944,focus,discovery
focus_jamendo_2041947,focus,discovery
focus_jamendo_2042978,focus,discovery
focus_jamendo_2043688,focus,discovery
focus_jamendo_2055767,focus,discovery
focus_jamendo_2057382,focus,discovery
focus_jamendo_2057691,focus,discovery
focus_jamendo_2060537,focus,holdout
focus_jamendo_2123290,focus,validation
focus_jamendo_2125861,focus,discovery
focus_jamendo_2127098,focus,discovery
focus_jamendo_2127108,focus,discovery
focus_jamendo_2127649,focus,discovery
focus_jamendo_2129421,focus,discovery
focus_jamendo_2149372,focus,validation
focus_jamendo_2152724,focus,validation
focus_jamendo_2160158,focus,discovery
focus_jamendo_2160682,focus,validation
focus_jamendo_2165080,focus,validation
focus_jamendo_2169943,focus,holdout
focus_jamendo_2178516,focus,discovery
focus_jamendo_2178517,focus,discovery
focus_jamendo_2178866,focus,discovery
focus_jamendo_2180121,focus,discovery
focus_jamendo_2180126,focus,discovery
focus_jamendo_2196880,focus,discovery
focus_jamendo_2200501,focus,discovery
focus_jamendo_2201166,focus,discovery
focus_jamendo_2201227,focus,discovery
focus_jamendo_2203332,focus,discovery
focus_jamendo_2205840,focus,discovery
focus_jamendo_2206772,focus,discovery
focus_jamendo_2207645,focus,holdout
focus_jamendo_2208659,focus,validation
focus_jamendo_2209988,focus,discovery
focus_jamendo_2215208,focus,discovery
focus_jamendo_2215209,focus,discovery
focus_jamendo_2234790,focus,discovery
focus_jamendo_2234792,focus,discovery
focus_jamendo_2235775,focus,discovery
focus_jamendo_2255191,focus,discovery
focus_jamendo_2257645,focus,discovery
focus_jamendo_2259996,focus,discovery
focus_jamendo_2260000,focus,discovery
focus_jamendo_2266423,focus,discovery
focus_jamendo_2269943,focus,discovery
focus_jamendo_2274006,focus,holdout
focus_jamendo_2276079,focus,discovery
focus_jamendo_2276080,focus,discovery
focus_jamendo_2279515,focus,discovery
focus_jamendo_2280562,focus,discovery
