segment_id,track_id,group,split,scale_seconds,source_modulation_relative_path,source_modulation_sha256,modulation_tertile_relative_path,modulation_tertile_sha256,model_sha256,windows,valid_windows,masked_windows,low_windows,medium_windows,high_windows,observed_states,median_intensity,status,processed_at,error
classical_musicnet_1742__180s,classical_musicnet_1742,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1742__180s.npz,ed71511474e2fc24540bf2ae3a9032382eca1788d560093fe50044fe1e6f9310,features/modulation_tertile/180s/classical/validation/classical_musicnet_1742__180s.npz,b75f09919195711cc22fce6f8848d2c8715ca6e312f36dc1d3849b2d7ee2fe4a,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,13,23,52,3,0.049508030333072384,success,2026-08-04,
classical_musicnet_1742__300s,classical_musicnet_1742,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1742__300s.npz,c1814a52e6cef6718d9b1b3c57ea49f325a7487274cbb6ec491371e274dd1851,features/modulation_tertile/300s/classical/validation/classical_musicnet_1742__300s.npz,688871cb767cdf2990b48915ef54b638a5c7e309db1d24d2ad7a240f4c6f9092,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,18,44,86,3,0.04820460923428982,success,2026-08-04,
classical_musicnet_1763__180s,classical_musicnet_1763,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1763__180s.npz,935ba573063f15a49c5c996d76d66078c2308fb68ec7aea355719d30ea266b26,features/modulation_tertile/180s/classical/validation/classical_musicnet_1763__180s.npz,b9daf17937564c707bfe818136eceb0525c8df59e8e360d2f74ece900e598101,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,27,39,22,3,0.03049906195656149,success,2026-08-04,
classical_musicnet_1763__300s,classical_musicnet_1763,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1763__300s.npz,8f03d8ff49647a02257e223897954802e75f0c30000f9d8a7d505b8512178e7a,features/modulation_tertile/300s/classical/validation/classical_musicnet_1763__300s.npz,04941a56eeb0f5937b2ae5fbbeabff1ee93792af1f721c11d9307074aed8c57d,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,45,69,34,3,0.029752974506550345,success,2026-08-04,
classical_musicnet_1764__180s,classical_musicnet_1764,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1764__180s.npz,ebbe496ebb3eb816ae755d060bcd2efa354ea4bd154eb0b97921037768d3933f,features/modulation_tertile/180s/classical/validation/classical_musicnet_1764__180s.npz,127a1a9a6fa6ec86588aba4ce09c13db70f9d35d65b3849cd2b24632cd7f2063,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,51,30,7,3,0.023489433469080723,success,2026-08-04,
classical_musicnet_1764__300s,classical_musicnet_1764,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1764__300s.npz,0d9b904920d7f59e718ef65de12b0c7c751461857ccf247603d02ca856408c03,features/modulation_tertile/300s/classical/validation/classical_musicnet_1764__300s.npz,22ecc7d8c06cfcf06939be3234ab759d7767297aa7ef1ce5f87d75cb6a588ba2,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,78,63,7,3,0.02434381787111306,success,2026-08-04,
classical_musicnet_1765__180s,classical_musicnet_1765,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1765__180s.npz,2f9924c7e63a25e3c4a5e4e9894ee3d4e0efcd7e45437cf8082e79c30d527b51,features/modulation_tertile/180s/classical/validation/classical_musicnet_1765__180s.npz,558b7fb88306a6ef6e410bdc29e93cf9efbe6de2e6befbfba8d87661cc9f4306,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,20,55,13,3,0.03199793969520215,success,2026-08-04,
classical_musicnet_1765__300s,classical_musicnet_1765,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1765__300s.npz,2cc9a5e39eb678c6ab76b2568bfa70c0ac62378fcd1bc6c41027d901a001fdc6,features/modulation_tertile/300s/classical/validation/classical_musicnet_1765__300s.npz,bf920540ae1fd1f833a7abd0bd7f61e48df18b15686642748fbfed6bcbd1b4df,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,45,80,23,3,0.030468913919548868,success,2026-08-04,
classical_musicnet_1766__180s,classical_musicnet_1766,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1766__180s.npz,157e0c7faca70f8b09a48cdd664a8803550a07048ed5031579061666a176d7c7,features/modulation_tertile/180s/classical/validation/classical_musicnet_1766__180s.npz,835ed922325c17ed8bef907693962d7cb50a529f2dd147ca078aaf46b57946cd,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,17,45,26,3,0.034289253208953596,success,2026-08-04,
classical_musicnet_1766__300s,classical_musicnet_1766,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1766__300s.npz,c5de4fcd753e7bc9828de111a9396e2fbaefe056aad20efa84bae417d8a2898f,features/modulation_tertile/300s/classical/validation/classical_musicnet_1766__300s.npz,f831e90d0f11428e017c4d3921881a8fcf125f40e810c00c61becc48d726ade6,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,39,76,33,3,0.03314993073036021,success,2026-08-04,
classical_musicnet_1805__180s,classical_musicnet_1805,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1805__180s.npz,3b3f5855f32141c14a0f6d473a9187c3b5f3b6e88672b75b7d5536cc879b5e92,features/modulation_tertile/180s/classical/validation/classical_musicnet_1805__180s.npz,dc1f3c86fdbd08c356f9e9f40f5c08a818edecda01aab436464b05cb33714473,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,27,46,15,3,0.03257799410289408,success,2026-08-04,
classical_musicnet_1805__300s,classical_musicnet_1805,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1805__300s.npz,8f3c1b2b654973d33cf104d59e43eca972acb8770088d147d3ec2736c5e748ed,features/modulation_tertile/300s/classical/validation/classical_musicnet_1805__300s.npz,c8f18c175b47ba39498e6316ca10c78d64ff562e114e29aa23e252e6faa66359,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,38,83,27,3,0.03252090576916089,success,2026-08-04,
classical_musicnet_1807__180s,classical_musicnet_1807,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1807__180s.npz,a67edef35dc80440bbe77b996812562e9498dd8bf7496f5bf84dd5f012906573,features/modulation_tertile/180s/classical/validation/classical_musicnet_1807__180s.npz,d89932b086eea3aea4257065df4f45a4d907e8de62333364f8b2cbb19ccb4e5b,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,38,37,13,3,0.026669801584773722,success,2026-08-04,
classical_musicnet_1807__300s,classical_musicnet_1807,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1807__300s.npz,ff159603610babb297665f9bc74128f3e31b32ca76c8f85b6479590fd31339b5,features/modulation_tertile/300s/classical/validation/classical_musicnet_1807__300s.npz,6ca8c176104e0f272a7d3b48ab6ae792c393d2bc490dfe6803d0fe8e7bb9df7c,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,60,68,20,3,0.02805905429067934,success,2026-08-04,
classical_musicnet_1811__180s,classical_musicnet_1811,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1811__180s.npz,de60b5ab77ebbacbe70dcb832101f098db62c371c6225ec749f0432de806f42e,features/modulation_tertile/180s/classical/validation/classical_musicnet_1811__180s.npz,7720ae1892357118e8ec1ed286bb80a5002cf0449f21fd7d255ccc920f30b817,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,67,12,9,3,0.011954035331655177,success,2026-08-04,
classical_musicnet_1811__300s,classical_musicnet_1811,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1811__300s.npz,5073c0953f07d277c776440d7aa2e19c35b9716c83fc2b3a7c9459dd896da60d,features/modulation_tertile/300s/classical/validation/classical_musicnet_1811__300s.npz,ff591c7a49ef899865baa4babf979df3ea702a81e637b44046300b59a4999ea9,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,115,20,13,3,0.012560681994386869,success,2026-08-04,
classical_musicnet_1812__180s,classical_musicnet_1812,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1812__180s.npz,ebcc165c03fd11d7c0b85147645420318bb25df80eab64aa8c21cdec9c1eee60,features/modulation_tertile/180s/classical/validation/classical_musicnet_1812__180s.npz,21700e7370dec095ac882300f7e46f5a5844a243dc5dfa498c9152e4a03a7bc7,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,61,22,5,3,0.018219163852563725,success,2026-08-04,
classical_musicnet_1812__300s,classical_musicnet_1812,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1812__300s.npz,7ce64744317f7d8a202bacf61966b50c027c61f7f071f0792adc102c736f9d9c,features/modulation_tertile/300s/classical/validation/classical_musicnet_1812__300s.npz,db0744338a1c4ff50fb7ec02f1cbc55e97346302dbd43f8dbf11e672e66854bd,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,92,47,9,3,0.02021651817528891,success,2026-08-04,
classical_musicnet_1813__180s,classical_musicnet_1813,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1813__180s.npz,bc8e9122fe84dbefa5307080afba13056e015ee8e1ed530258780f38a7427e36,features/modulation_tertile/180s/classical/validation/classical_musicnet_1813__180s.npz,20dd4389f08b898996c92008535893990bea1e561c5c1bb7511a6089c106cc8d,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,25,35,28,3,0.036143326110618545,success,2026-08-04,
classical_musicnet_1813__300s,classical_musicnet_1813,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1813__300s.npz,9a39a098dea7a528176bea5defe6c31db73b4ef7abb33389747458af9b90c3b9,features/modulation_tertile/300s/classical/validation/classical_musicnet_1813__300s.npz,d4f66b2b7a0d73dfb353ec630f34ec7f92b8e5b9f288dfa1be3f6bdb066f37b6,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,62,47,39,3,0.030037353322086346,success,2026-08-04,
classical_musicnet_1817__180s,classical_musicnet_1817,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1817__180s.npz,25146dca66f9ffa6d3dd94778fe434c1ba52d01f55fd9ec83492b8ecb9f8d2fb,features/modulation_tertile/180s/classical/validation/classical_musicnet_1817__180s.npz,78001d926593b328a04033812789cf49aadd98986aa2f9e933a06d7cc6c94c75,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,72,11,5,3,0.01686238489344305,success,2026-08-04,
classical_musicnet_1817__300s,classical_musicnet_1817,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1817__300s.npz,b5da2988987957c324418738c83a5d24ca5e24e11280f5eb0c9d3c93a88ec6d5,features/modulation_tertile/300s/classical/validation/classical_musicnet_1817__300s.npz,f8b3b8ba89dcddef57e45a58d82c6d5991980d48edec4be4e44cddccc0d97bdb,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,123,123,0,100,18,5,3,0.015668684726961146,success,2026-08-04,
classical_musicnet_1818__180s,classical_musicnet_1818,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1818__180s.npz,f89b607db54edd5cf775780578b146d06f872b1f6513a625d602ae96bbc6a67e,features/modulation_tertile/180s/classical/validation/classical_musicnet_1818__180s.npz,94d1a189a67753bfd515496c3ecf1d2271ca330d9f77c18a700b6fb0182371be,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,70,16,2,3,0.015486789469889573,success,2026-08-04,
classical_musicnet_1818__300s,classical_musicnet_1818,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1818__300s.npz,6d95282df59bc0bf0d6360545bf63c373f006e9531a88d4dca224b159cf05d41,features/modulation_tertile/300s/classical/validation/classical_musicnet_1818__300s.npz,483577615e6196c3f742a0dc714e3ca981f45dc3ef6f4821e38e7aaff6d838d9,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,112,30,6,3,0.01650873027426769,success,2026-08-04,
classical_musicnet_1819__180s,classical_musicnet_1819,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1819__180s.npz,9506014abce763d608ea6451bfa9771376a60fd37e1efbddbb8b35cd3da17006,features/modulation_tertile/180s/classical/validation/classical_musicnet_1819__180s.npz,127ac88a7ba260b874aa671d399b1993597e05e41f2bce821d277e1269e2140e,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,87,87,0,80,6,1,3,0.013427683830627757,success,2026-08-04,
classical_musicnet_1819__300s,classical_musicnet_1819,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1819__300s.npz,9506014abce763d608ea6451bfa9771376a60fd37e1efbddbb8b35cd3da17006,features/modulation_tertile/300s/classical/validation/classical_musicnet_1819__300s.npz,127ac88a7ba260b874aa671d399b1993597e05e41f2bce821d277e1269e2140e,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,87,87,0,80,6,1,3,0.013427683830627757,success,2026-08-04,
classical_musicnet_1828__180s,classical_musicnet_1828,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1828__180s.npz,7c5615f88e1037aa6cc8d817e130c9b837df16885aebbd5c4d629d02d18e2ee1,features/modulation_tertile/180s/classical/validation/classical_musicnet_1828__180s.npz,04a94dd039ce64c179986e79f21cd0298d9e432047cb5fff4eddada2a3d96a44,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,42,33,13,3,0.025110728422077955,success,2026-08-04,
classical_musicnet_1828__300s,classical_musicnet_1828,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1828__300s.npz,5fa9a88095a290a2698904c08705a41b3dbd64f07ca077a59d599abc242d3aff,features/modulation_tertile/300s/classical/validation/classical_musicnet_1828__300s.npz,3497dd7bb56918713dece9c6b1c9414e64227b2116e11a01e2c84345314da524,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,131,131,0,59,53,19,3,0.025907268978926368,success,2026-08-04,
classical_musicnet_1829__180s,classical_musicnet_1829,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1829__180s.npz,4a5e6eb5777b56ee13053b0cb79c9a4e2e4e84ea268d450dc2cf4eb09bd18806,features/modulation_tertile/180s/classical/validation/classical_musicnet_1829__180s.npz,c85945389028dc84fa3eea32a3e6753ccfb40058c47d537b716b6b010460f940,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,37,41,10,3,0.027329481216838758,success,2026-08-04,
classical_musicnet_1829__300s,classical_musicnet_1829,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1829__300s.npz,d007dec85f8f408df2299d4da12d84b1a71b4273def3369b8dbd68ecfb835112,features/modulation_tertile/300s/classical/validation/classical_musicnet_1829__300s.npz,442ef681cfaaa95d9d74c9c6c4bb366667ec9416f0f67454258e0362522b18bc,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,63,72,13,3,0.026921344332322406,success,2026-08-04,
classical_musicnet_1835__180s,classical_musicnet_1835,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1835__180s.npz,eae8f4789731578eaa5e15cc6e1a98e7ddf1438edfbc1ef12a522dd861eff703,features/modulation_tertile/180s/classical/validation/classical_musicnet_1835__180s.npz,fe3a9edb13bac2d3d3d1492ad7e3b4a835ded072d778277e81772058caeaa5d4,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,38,46,4,3,0.02766731160602376,success,2026-08-04,
classical_musicnet_1835__300s,classical_musicnet_1835,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1835__300s.npz,05045dcb051056eed6162c2942066b021ce186e735243ab02b4ad05c1a800018,features/modulation_tertile/300s/classical/validation/classical_musicnet_1835__300s.npz,43bc7106041298d31d886387bfbc59d6fec5e031e880a3a2bfff1a9826d33bcb,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,116,116,0,42,66,8,3,0.03057942673638081,success,2026-08-04,
classical_musicnet_1859__180s,classical_musicnet_1859,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1859__180s.npz,633c2759b53b8107a9ac6d38ea984f5c8456b76c12a2d6e92dc7a62d4b5a8203,features/modulation_tertile/180s/classical/validation/classical_musicnet_1859__180s.npz,2b6d4be1d8fecdf08c56c1610905f23dd8c981c1e7716197221c0b0ccfccb8e9,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,40,40,8,3,0.025778681421115834,success,2026-08-04,
classical_musicnet_1859__300s,classical_musicnet_1859,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1859__300s.npz,1db5d892f1c36b6b8385adc641810a362126ef678eaea71d87e0f06d9687c665,features/modulation_tertile/300s/classical/validation/classical_musicnet_1859__300s.npz,ff9578aa7afe920bb46623ba94be552a8bc0ae6ac343f28bf3e4143ef2005256,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,77,61,10,3,0.024105506663204324,success,2026-08-04,
classical_musicnet_1872__180s,classical_musicnet_1872,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1872__180s.npz,87d1e8586b86368ee9a31c2f5196bb706ad2874c76c5da82abaa08b73c9e6cef,features/modulation_tertile/180s/classical/validation/classical_musicnet_1872__180s.npz,6a60d60b7fcca8ce4b0be84c3d35d75358809609b2cf9de9bc7a0632d633103c,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,13,37,38,3,0.03997674592426392,success,2026-08-04,
classical_musicnet_1872__300s,classical_musicnet_1872,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1872__300s.npz,0f0cc2c610b7c8f61be6c7a071f773e7aad1e391358744c88e25a5305467fe29,features/modulation_tertile/300s/classical/validation/classical_musicnet_1872__300s.npz,317c03494984930836ee7f4441a50ee56fc66f58091dda061175282bf56849dc,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,20,65,63,3,0.03958670425845412,success,2026-08-04,
classical_musicnet_1873__180s,classical_musicnet_1873,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1873__180s.npz,46f04c54ae0610cb866316a5a5a5bedfd63599a00a197b31830d6d5467266302,features/modulation_tertile/180s/classical/validation/classical_musicnet_1873__180s.npz,d50f50d1d0a981533f97029db1b9b20c8e79f6b6d0712ca03e053bf5bdd7a3a1,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,28,44,16,3,0.03133231208857978,success,2026-08-04,
classical_musicnet_1873__300s,classical_musicnet_1873,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1873__300s.npz,d3b1f26981402f8ad133f03885fee90169b30d245512913f1bc2d572ab5480b9,features/modulation_tertile/300s/classical/validation/classical_musicnet_1873__300s.npz,bcbbce6da6a13d7e9284a8acd8d033a8343d6d96044520ec07fdcdcb663350df,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,42,85,21,3,0.029993461575031688,success,2026-08-04,
classical_musicnet_1876__180s,classical_musicnet_1876,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1876__180s.npz,deb2eeaa600969e870dd7fdee870a0766f7c35a2aafb51331242f155489a1979,features/modulation_tertile/180s/classical/validation/classical_musicnet_1876__180s.npz,acee39b0536c628782baab01e719c8da8b880887d1868f24712ac2249e2b9315,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,28,37,23,3,0.030468729198332767,success,2026-08-04,
classical_musicnet_1876__300s,classical_musicnet_1876,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1876__300s.npz,1fbaa42cb8fa79d885baef6a7188ea46384d51e645ac444dc0f4c51b3510e9c6,features/modulation_tertile/300s/classical/validation/classical_musicnet_1876__300s.npz,aeb518d980b1c6c15427c0bdb72c56d3ba8ca6c3294bcba74849e8cfbe8f8e0e,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,64,57,27,3,0.0272795943598112,success,2026-08-04,
classical_musicnet_1893__180s,classical_musicnet_1893,classical,validation,180.0,features/modulation/180s/classical/validation/classical_musicnet_1893__180s.npz,d92a7806047fe8d9a146f96cc0d7b8863b7f5df6dc9cc71fcc6aa43d1b07d5ea,features/modulation_tertile/180s/classical/validation/classical_musicnet_1893__180s.npz,f9ad28098049c3ff64ce1dc3256b421baf7dbd6c199e606a886694aef98b5466,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,88,88,0,28,45,15,3,0.030443813923966445,success,2026-08-04,
classical_musicnet_1893__300s,classical_musicnet_1893,classical,validation,300.0,features/modulation/300s/classical/validation/classical_musicnet_1893__300s.npz,426203257fc2a9ceda0479b11bc6fd6e2a2950edf581f49914e9df2f19504672,features/modulation_tertile/300s/classical/validation/classical_musicnet_1893__300s.npz,696040e3f12317b99ecdc0faf465cffe92a02fa6c9405e1118004dc31cbb1b23,0b4705b1bffe9c58774570835bfeefca496e4f17309cb3a416bbafcd2d86787c,148,148,0,43,80,25,3,0.030429044429865826,success,2026-08-04,
