segment_id,track_id,group,split,scale_seconds,view,state_count,state_coverage,retained_edge_ratio,feature_relative_path,feature_sha256,graph_relative_path,graph_sha256,persistence_relative_path,persistence_sha256,sensitivity_persistence_relative_path,sensitivity_persistence_sha256,sidecar_relative_path,config_sha256,sequence_length,valid_states,valid_transitions,self_transitions,self_transition_ratio,vertex_count,edge_count,edge_density,reciprocity,transition_entropy,path_entropy,path_entropy_normalized,directed_recurrence,directed_recurrence_unbiased,h0_betti_auc,h1_betti_auc,h0_betti_mean,h1_betti_mean,h0_betti_max,h1_betti_max,h0_interval_count,h1_interval_count,h0_observed_persistence,h1_observed_persistence,h0_censored_count,h1_censored_count,status,processed_at,error
classical_musicnet_1742__180s,classical_musicnet_1742,classical,validation,180.0,modulation_smp_k8,8,0.75,0.26785714285714285,features/modulation_smp_prototype/180s/classical/validation/classical_musicnet_1742__180s.npz,8529a8a54b04c9010f43ae06c2556e32f6ac4d2af1de707cb8c491c5d7ab9daa,graphs/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1742__180s.npz,74ff449cf9abcdedb4fa72443991d9a5a6f0089f5a365f829b67eb0aeb65dc1b,homology/persistence/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1742__180s.npz,bac6ec88b2faeb62d264542dfdde511219f5681688b78811a066f26d1c99132c,homology/persistence_sensitivity/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1742__180s.npz,6b3cf9a0566830e00c648715a95a03fd66ca3bcba3c6eafbf558616325d06ebc,homology/descriptors/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1742__180s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,88,88,87,38,0.4367816091954023,6,15,0.5,0.6666666666666666,0.8333636667591139,1.1488252214352699,0.6411715641331138,0.13145725987580922,0.12135792568831863,1.2499999999999998,0.0,2.8333333333333335,0.0,4,0,4,0,1.4,0.0,1,0,success,2026-08-05,
classical_musicnet_1742__300s,classical_musicnet_1742,classical,validation,300.0,modulation_smp_k8,8,0.625,0.2857142857142857,features/modulation_smp_prototype/300s/classical/validation/classical_musicnet_1742__300s.npz,0ea66d8601a14babc8b73910bd921471a58242ed6d0cb9bde26c66376306547c,graphs/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1742__300s.npz,c7c3eab6f10c91ec3b1a74f7e825da8757066d506297a0e2920d517944418a92,homology/persistence/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1742__300s.npz,fb7bb562d8dec08c24a36447acf8477376ab58f239e5ed406323f6fc76c549b6,homology/persistence_sensitivity/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1742__300s.npz,9b8232757073095fb8edc89b6cde61b9944650195f043a23007bc4931e9e6e83,homology/descriptors/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1742__300s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,148,148,147,53,0.36054421768707484,5,16,0.8,0.75,0.8504212435492079,1.2056997144521033,0.7491433531776404,0.11175898931000972,0.10567514677103718,1.9,0.0,4.166666666666667,0.0,5,0,5,0,2.05,0.0,2,0,success,2026-08-05,
classical_musicnet_1763__180s,classical_musicnet_1763,classical,validation,180.0,modulation_smp_k8,8,0.625,0.25,features/modulation_smp_prototype/180s/classical/validation/classical_musicnet_1763__180s.npz,73be40e04ca1a04cacd54ca7aa91d2f675327de443dd005e2902d158a9773ac3,graphs/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1763__180s.npz,ef3fa46a9acf1504e9bfcc1b4941f211c4af6931ba276557471c2e96df049207,homology/persistence/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1763__180s.npz,7a7f5ebee3f95153a6dc08fd1ee46d92dbf8316c3797ee1d0799332d94e8cbae,homology/persistence_sensitivity/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1763__180s.npz,5e5f334b1cb5b203a6fc5e0195747923638fb3fa9f4e3531c0e8d319ef003a7c,homology/descriptors/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1763__180s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,88,88,87,32,0.367816091954023,5,14,0.7,0.7142857142857143,0.8793221838385948,1.2333261883203896,0.7663086465107048,0.1029198044655833,0.09248863940122962,1.75,0.0,3.8333333333333335,0.0,5,0,5,0,1.9499999999999997,0.0,1,0,success,2026-08-05,
classical_musicnet_1763__300s,classical_musicnet_1763,classical,validation,300.0,modulation_smp_k8,8,0.625,0.26785714285714285,features/modulation_smp_prototype/300s/classical/validation/classical_musicnet_1763__300s.npz,51d9b42a3bb999d7716a8e92e6037916b644d39d8f7de09ceb6eef9184951aa3,graphs/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1763__300s.npz,bc2706185fb57874089d76980312c25ad354dda390881d26aaa4b40431ebc6af,homology/persistence/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1763__300s.npz,7101c02808c97dacc2853bbd5801d05ba5926b4e51272f4f5b8106349cbdb763,homology/persistence_sensitivity/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1763__300s.npz,e1644ef33f7cccceba4c12b72d479ea4d05b59138f0891a37b8d6a3d5f1269d6,homology/descriptors/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1763__300s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,148,148,147,54,0.3673469387755102,5,15,0.75,0.8,0.8776774933303538,1.2544442111557874,0.7794300118471651,0.10481743717895321,0.0986860497623707,1.9499999999999997,0.0,4.333333333333333,0.0,5,0,5,0,2.05,0.0,3,0,success,2026-08-05,
classical_musicnet_1764__180s,classical_musicnet_1764,classical,validation,180.0,modulation_smp_k8,8,0.5,0.19642857142857142,features/modulation_smp_prototype/180s/classical/validation/classical_musicnet_1764__180s.npz,090a7b809adf27d1e45658c28a5788f90978a53f42a63caf9fb82b221c517da8,graphs/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1764__180s.npz,ed6497cde564284bff42dcff7ba4c5847ef9650288b41f3927484b7be9d858a9,homology/persistence/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1764__180s.npz,d8d333651c181ff747b828a4452fb17c9f5629ef0b2f730e8130c68d5dd90685,homology/persistence_sensitivity/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1764__180s.npz,972ff78a2c8d5fa43357eb6c6b1c347f10fc4d2c6bae46f6f5045b566a6e27cc,homology/descriptors/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1764__180s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,88,88,87,32,0.367816091954023,4,11,0.9166666666666666,0.9090909090909091,0.8876641985929734,1.144127218093794,0.8253133318450011,0.1126965253005681,0.10237904303662122,1.3999999999999997,0.0,3.1666666666666665,0.0,4,0,4,0,1.4999999999999998,0.0,2,0,success,2026-08-05,
classical_musicnet_1764__300s,classical_musicnet_1764,classical,validation,300.0,modulation_smp_k8,8,0.625,0.23214285714285715,features/modulation_smp_prototype/300s/classical/validation/classical_musicnet_1764__300s.npz,574b0a436ce8800db43fe1efe01b331dcdf27bbedbfdd744a34640ba8c14bb66,graphs/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1764__300s.npz,774c4bd4ba27a1f54861a06f11c901354cd5cb132dc37519d8c0bc69808709ee,homology/persistence/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1764__300s.npz,66da7274398f4474177c3077e9807228611430deb6c0cb7d0d59e2389955f0aa,homology/persistence_sensitivity/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1764__300s.npz,17f4ed9bfa4e40203313841da5d1606e045043ea2ae9f9740e5085d724b63f25,homology/descriptors/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1764__300s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,148,148,147,61,0.41496598639455784,5,13,0.65,0.7692307692307693,0.8311286853143075,1.1089345466706493,0.6890197739865007,0.12314313480494239,0.11713726586525021,1.2999999999999998,0.0,3.0,0.0,4,0,4,0,1.4,0.0,2,0,success,2026-08-05,
classical_musicnet_1765__180s,classical_musicnet_1765,classical,validation,180.0,modulation_smp_k8,8,0.625,0.25,features/modulation_smp_prototype/180s/classical/validation/classical_musicnet_1765__180s.npz,a6cb5371716549c488feb13339769c7335cb6d680d3e9c41a592afb160574c52,graphs/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1765__180s.npz,1ac35e9db31107f527fefcfe3422cc831a21c26cc939c8f3462e73846716b965,homology/persistence/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1765__180s.npz,3f791335eac3cf2900152c0ad0355993190861903687e781a5f8bcea2b4b0401,homology/persistence_sensitivity/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1765__180s.npz,cf9cc54b19a784964d6940fb5bd672bc27f771507ab81d52e3b86d721d7aed35,homology/descriptors/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1765__180s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,88,88,87,36,0.41379310344827586,5,14,0.7,0.8571428571428571,0.8767249697787477,1.1851497217535556,0.7363749248090876,0.10027744748315498,0.08981555733761026,1.9,0.0,4.166666666666667,0.0,5,0,5,0,2.05,0.0,2,0,success,2026-08-05,
classical_musicnet_1765__300s,classical_musicnet_1765,classical,validation,300.0,modulation_smp_k8,8,0.625,0.26785714285714285,features/modulation_smp_prototype/300s/classical/validation/classical_musicnet_1765__300s.npz,eec6baed992cf78b9f13791fc4f46fcfa612f208134f55819e1f6bc24b5f4537,graphs/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1765__300s.npz,ed44ea7c2cc2c144bb924c8f00099c00b2e1282c129f6ec28e53c61629f90f0a,homology/persistence/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1765__300s.npz,9deaca43444b4f778e740468ff7c7f9bc637525b336c2c8121b5f76135fda512,homology/persistence_sensitivity/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1765__300s.npz,f2205c20d2d2bfc22e255da11aec03f7fc92e60b7e80abf3827355890b6e284e,homology/descriptors/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1765__300s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,148,148,147,66,0.4489795918367347,5,15,0.75,0.9333333333333333,0.8525198421971073,1.1822405239998686,0.7345673386131796,0.107779166088204,0.1016680644860684,1.9499999999999997,0.0,4.166666666666667,0.0,5,0,5,0,2.15,0.0,1,0,success,2026-08-05,
classical_musicnet_1766__180s,classical_musicnet_1766,classical,validation,180.0,modulation_smp_k8,8,0.625,0.23214285714285715,features/modulation_smp_prototype/180s/classical/validation/classical_musicnet_1766__180s.npz,f9d1d522f00d1295c3e62c42099c182acb352a0a8d1a9377dab302eaa92ac60b,graphs/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1766__180s.npz,756683a20aaf97fde4bf6098d875284a83e38975a8b6f4fb5c2022155a64e263,homology/persistence/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1766__180s.npz,1017a36208d56329c1e4eb7015f0477379330c02d3272072a5507a061cd6aa1c,homology/persistence_sensitivity/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1766__180s.npz,f2ed9d535259db6afed0ae8b803dff3652e6746b17f2689056d0c5f7aa4d239c,homology/descriptors/modulation_smp_prototype/k8/180s/classical/validation/classical_musicnet_1766__180s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,88,88,87,44,0.5057471264367817,5,13,0.65,0.9230769230769231,0.7889319110596927,1.0461670771792708,0.6500201524376026,0.1581450653983353,0.1483560545308741,1.5499999999999998,0.0,3.5,0.0,5,0,5,0,1.7499999999999998,0.0,1,0,success,2026-08-05,
classical_musicnet_1766__300s,classical_musicnet_1766,classical,validation,300.0,modulation_smp_k8,8,0.625,0.23214285714285715,features/modulation_smp_prototype/300s/classical/validation/classical_musicnet_1766__300s.npz,f6a7f75bc0c3e3121fe80013b64d10c006ec2d1c197ea619dc8618644d99ca76,graphs/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1766__300s.npz,ff9caa0a13eebe4280786d4fa5b9a28db695d9e0bd8462dd28e03973f6924168,homology/persistence/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1766__300s.npz,1017a36208d56329c1e4eb7015f0477379330c02d3272072a5507a061cd6aa1c,homology/persistence_sensitivity/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1766__300s.npz,faa345b329106b28f0495232784e9704de59ea460d54b3b480b84186c146d6b2,homology/descriptors/modulation_smp_prototype/k8/300s/classical/validation/classical_musicnet_1766__300s.json,7c885e3bfa99504a7a1cbf792ce4136530aa7a0c465d63445259456e286e66d6,148,148,147,68,0.46258503401360546,5,13,0.65,0.9230769230769231,0.7824969308870029,1.0720163914736138,0.6660812344430891,0.14766995233467536,0.14183207529587177,1.5499999999999998,0.0,3.5,0.0,5,0,5,0,1.7499999999999998,0.0,1,0,success,2026-08-05,
